Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Yemen,Marib,Medghal,YEM,YE2603,YE26,January,2015,2,11
Yemen,Shabwah,Al Talh,YEM,YE2102,YE21,January,2015,0,0
Yemen,Hadramawt,Hajr,YEM,YE1924,YE19,January,2015,0,0
Yemen,Al Jawf,Az Zahir,YEM,YE1604,YE16,January,2015,0,0
Yemen,Sanaa,Bani Hushaysh,YEM,YE2304,YE23,January,2015,0,0
Yemen,Hajjah,Khayran Al Muharraq,YEM,YE1711,YE17,January,2015,0,0
Yemen,Taizz,Al Qahirah,YEM,YE1518,YE15,January,2015,0,0
Yemen,Aden,Al Mualla,YEM,YE2406,YE24,January,2015,3,1
Yemen,Taizz,Mawyeh,YEM,YE1501,YE15,January,2015,0,0
Yemen,Al Jawf,Al Matammah,YEM,YE1603,YE16,January,2015,0,0
Yemen,Sadah,Baqim,YEM,YE2201,YE22,January,2015,0,0
Yemen,Ibb,Far Al Udayn,YEM,YE1110,YE11,January,2015,0,0
Yemen,Marib,Jabal Murad,YEM,YE2614,YE26,January,2015,0,0
Yemen,Hadramawt,Shibam,YEM,YE1908,YE19,January,2015,4,0
Yemen,Al Hudaydah,Al Mina,YEM,YE1822,YE18,January,2015,0,0
Yemen,Ad Dali,Jahaf,YEM,YE3007,YE30,January,2015,0,0
Yemen,Hajjah,Hajjah,YEM,YE1729,YE17,January,2015,0,0
Yemen,Sanaa,Hamdan,YEM,YE2301,YE23,January,2015,0,0
Yemen,Sanaa,Safan,YEM,YE2311,YE23,January,2015,0,0
Yemen,Taizz,Sharab Ar Rawnah,YEM,YE1503,YE15,January,2015,0,0
Yemen,Abyan,Ahwar,YEM,YE1209,YE12,January,2015,0,0
Yemen,Amanat al Asimah,As Sabain,YEM,YE1305,YE13,January,2015,7,11
Yemen,Ibb,Ash Shair,YEM,YE1105,YE11,January,2015,0,0
Yemen,Dhamar,Wusab As Safil,YEM,YE2007,YE20,January,2015,0,0
Yemen,Al Bayda,As Sawmaah,YEM,YE1404,YE14,January,2015,0,0
Yemen,Al Bayda,Al Bayda,YEM,YE1410,YE14,January,2015,0,0
Yemen,Taizz,As Silw,YEM,YE1513,YE15,January,2015,0,0
Yemen,Al Bayda,Nati,YEM,YE1402,YE14,January,2015,0,0
Yemen,Ad Dali,Al Hussein,YEM,YE3005,YE30,January,2015,0,0
Yemen,Raymah,Bilad At Taam,YEM,YE3101,YE31,January,2015,0,0
Yemen,Al Hudaydah,Zabid,YEM,YE1824,YE18,January,2015,0,0
Yemen,Al Bayda,Radman Al Awad,YEM,YE1412,YE14,January,2015,0,0
Yemen,Al Hudaydah,Al Qanawis,YEM,YE1806,YE18,January,2015,0,0
Yemen,Shabwah,Ain,YEM,YE2106,YE21,January,2015,0,0
Yemen,Hajjah,Al Maghrabah,YEM,YE1717,YE17,January,2015,0,0
Yemen,Sadah,Saqayn,YEM,YE2209,YE22,January,2015,0,0
